id_ticker,ticker_recente,id_empresa
325,CRFB3,638
326,CRGT3,735
327,CRGT5,735
328,CRIV3,331
329,CRIV4,331
330,CRPG3,303
331,CRPG5,303
332,CRPG6,303
333,CRTP3,114
334,CRTP5,114
335,CRUZ3,404
336,CSAB3,308
337,CSAB4,308
338,CSAN3,485
339,CSED3,626
340,CSMB3,337
341,CSMG3,340
342,CSNA3,414
343,CSPC3,98
344,CSPC4,98
345,CSPP3,598
346,CSRN3,205
347,CSRN5,205
348,CSRN6,205
349,CSTB3,379
350,CSTB4,379
351,CSUD3,38
352,CTAN8,150
353,CTAP3,224
354,CTAX3,242
355,CTAX4,242
356,CTIP3,241
357,CTKA3,658
358,CTKA4,658
359,CTMI3,195
360,CTNM3,363
361,CTNM4,363
362,CTPC3,490
363,CTPC4,490
364,CTSA3,359
365,CTSA4,359
366,CTSA8,359
367,CTWR3,628
368,CURY3,220
369,CVCB3,251
370,CXSE3,362
371,CYRE3,637
372,CYRE4,637
373,CZRS4,620
374,DASA3,610
375,DATA4,431
376,DAYC4,622
377,DESK3,200
378,DEXP3,45
379,DEXP4,45
380,DFVA3,609
381,DFVA4,609
382,DHBI3,736
383,DHBI4,736
384,DIRR3,318
385,DJON4,454
386,DMFN3,711
387,DMMO3,226
388,DMVF3,272
389,DOCA3,434
390,DOCA4,434
391,DOHL3,679
392,DOHL4,679
393,DOMO3,267
394,DOTZ3,344
395,DPPI3,720
396,DPPI4,720
397,DSUL3,116
398,DTCY3,118
399,DUQE3,681
400,DUQE4,681
401,DURA3,594
402,DURA4,594
403,DXCO3,749
404,DXTG4,523
405,EALT3,662
406,EALT4,662
407,EBCO3,684
408,EBCO4,684
409,EBEN3,51
410,EBEN4,51
411,EBTP3,79
412,EBTP4,79
413,ECIS3,427
414,ECIS4,427
415,ECOR3,138
416,ECPR3,41
417,ECPR4,41
418,EDNE5,288
419,EEEL3,725
420,EEEL4,725
421,EEELB,725
422,EGIE3,71
423,EGIE5,71
424,EGIE6,71
425,EKTR3,55
426,EKTR4,55
427,ELAT3,6
428,ELBR4,497
429,ELEK3,293
430,ELEK4,293
431,ELET3,3
432,ELET5,3
433,ELET6,3
434,ELEV3,732
435,ELMD3,240
436,ELND3,248
437,ELND4,248
438,ELPL3,617
439,ELPL4,617
440,ELPL5,617
441,ELPL6,617
442,ELUM3,508
443,ELUM4,508
444,EMAE3,52
445,EMAE4,52
446,EMBR3,185
447,EMBR4,185
448,EMXS3,527
449,EMXS4,527
450,ENAT3,263
451,ENBR3,133
452,ENER3,312
453,ENER5,312
454,ENER6,312
455,ENEV3,143
456,ENGI3,17
457,ENGI4,17
458,ENGIB,17
459,ENJU3,323
460,ENMT3,122
461,ENMT4,122
462,EPAR3,460
463,EPAR4,460
464,EPED4,500
465,EPTE4,50
466,EQMAB,165
467,EQPA3,149
468,EQPA5,149
469,EQPA6,149
470,EQPA7,149
471,EQTL3,117
472,ERIC3,417
473,ERIC4,417
474,ESCE3,381
475,ESPA3,376
476,ESTR3,573
477,ESTR4,573
478,ETER3,581
479,ETER4,581
480,EUCA3,501
481,EUCA4,501
482,EVEN3,467
483,EZTC3,204
484,FAPC3,510
485,FAPC4,510
486,FBMC3,602
487,FBMC4,602
488,FBRA4,605
489,FCAP3,407
490,FCAP4,407
491,FESA3,306
492,FESA4,306
493,FFTL3,348
494,FFTL4,348
495,FGUI3,438
496,FGUI4,438
497,FHER3,361
498,FIBR3,541
499,FICT3,13
500,FIEI3,192
501,FIGE3,31
502,FIGE4,31
503,FIQE3,48
504,FLBR3,595
505,FLBR4,595
506,FLCL3,349
507,FLCL5,349
508,FLCL6,349
509,FLRY3,549
510,FRAS3,691
511,FRAS4,691
512,FRIO3,148
513,FRTA3,687
514,FTRX3,664
515,FTRX4,664
516,FTSE3,525
517,FTSE4,525
518,FTZA4,600
519,GAFP3,448
520,GAFP4,448
521,GALO4,583
522,GAZO3,695
523,GAZO4,695
524,GEPA3,110
525,GEPA4,110
526,GETI3,111
527,GETI4,111
528,GETT3,249
529,GETT4,249
530,GFSA3,30
531,GGBR3,440
532,GGBR4,440
533,GGPS3,234
534,GMAT3,371
535,GMSA3,25
536,GNDI3,352
537,GOAU3,722
538,GOAU4,722
539,GOLL4,164
540,GPAR3,213
541,GRND3,704
542,GRNL3,697
543,GRNL4,697
544,GSHP3,219
545,GTDP3,15
546,GTDP4,15
547,GTDPB,15
548,GUAR3,208
549,GUAR4,208
550,GVTT3,121
551,HAGA3,392
552,HAGA4,392
553,HAPV3,154
554,HBOR3,481
555,HBRE3,298
556,HBSA3,278
557,HBTS5,689
558,HETA3,728
559,HETA4,728
560,HGNN6,259
561,HGTX3,650
562,HGTX4,650
563,HOOT4,424
564,HYPE3,108
565,IBAN3,310
566,IBAN5,310
567,IBAN6,310
568,IBRC4,572
569,ICPI3,367
570,ICPI4,367
571,IDVL3,562
572,IDVL4,562
573,IENG3,47
574,IENG5,47
575,IFCM3,453
576,IGBR3,465
577,IGBR5,465
578,IGBR6,465
579,IGBR7,465
580,IGTA3,488
581,IGTI3,536
582,IGTI4,536
583,IGUA3,639
584,IGUA5,639
585,IGUA6,639
586,ILLS4,672
587,ILMD3,717
588,ILMD4,717
589,IMBI3,674
590,IMBI4,674
591,IMCH3,227
592,INEP3,648
593,INEP4,648
594,INFM3,49
595,INFM4,49
596,INTB3,663
597,IRBR3,429
598,IRON3,237
599,ISAE3,112
600,ISAE4,112
601,ITEC3,498
602,ITEC5,498
603,ITPS4,584
604,ITSA3,612
605,ITSA4,612
606,ITUB3,553
607,ITUB4,553
608,IVCT4,537
609,IVEN3,748
610,IVEN4,748
611,IVIL3,607
612,IVIL4,607
613,JALL3,89
614,JBSS3,105
615,JFAB4,677
616,JFEN3,409
617,JHSF3,203
618,JOIN4,682
619,JOPA3,688
620,JOPA4,688
621,JSLG3,493
622,KEPL3,713
623,KEPL4,713
624,KLAB3,531
625,KLAB4,531
626,KLBN3,702
627,KLBN4,702
628,KRSA3,282
629,KSSA3,10
630,LAEL3,611
631,LAEL4,611
632,LAME3,406
633,LAME4,406
634,LAND3,455
635,LARK4,539
636,LATS3,387
637,LATS4,387
638,LATS6,387
639,LAVV3,375
640,LCAM3,244
641,LCSA3,705
642,LCSA4,705
643,LECO4,528
644,LETO3,690
645,LETO4,690
646,LETO5,690
647,LEVE3,530
648,LEVE4,530
649,LFFE3,496
650,LFFE4,496
651,LGLO4,726
652,LHER3,659
653,LHER4,659
654,LIAS4,338
655,LIGH3,529
656,LIGT3,120
657,LINX3,168
658,LIPR3,22
659,LITS3,563
660,LITS4,563
661,LIXC3,474
662,LIXC4,474
663,LJQQ3,744
664,LOGG3,228
665,LOGN3,458
666,LPSB3,199
667,LREN3,729
668,LREN4,729
669,LUPA3,701
670,LUXM3,716
671,LUXM4,716
672,LVTC3,160
673,LWSA3,63
674,MAGG3,215
675,MAGS3,350
676,MAGS5,350
677,MAGS7,350
678,MAHS3,574
679,MAHS4,574
680,MAKR3,476
681,MANM3,332
682,MANM4,332
683,MAORB,74
684,MAPT3,738
685,MAPT4,738
686,MARI3,201
687,MATD3,320
688,MBLY3,395
