id_data,data_pregao
355,2001-06-06
356,2001-06-07
357,2001-06-08
358,2001-06-11
359,2001-06-12
360,2001-06-13
361,2001-06-15
362,2001-06-18
363,2001-06-19
364,2001-06-20
365,2001-06-21
366,2001-06-22
367,2001-06-25
368,2001-06-26
369,2001-06-27
370,2001-06-28
371,2001-06-29
372,2001-07-02
373,2001-07-03
374,2001-07-04
375,2001-07-05
376,2001-07-06
377,2001-07-10
378,2001-07-11
379,2001-07-12
380,2001-07-13
381,2001-07-16
382,2001-07-17
383,2001-07-18
384,2001-07-19
385,2001-07-20
386,2001-07-23
387,2001-07-24
388,2001-07-25
389,2001-07-26
390,2001-07-27
391,2001-07-30
392,2001-07-31
393,2001-08-01
394,2001-08-02
395,2001-08-03
396,2001-08-06
397,2001-08-07
398,2001-08-08
399,2001-08-09
400,2001-08-10
401,2001-08-13
402,2001-08-14
403,2001-08-15
404,2001-08-16
405,2001-08-17
406,2001-08-20
407,2001-08-21
408,2001-08-22
409,2001-08-23
410,2001-08-24
411,2001-08-27
412,2001-08-28
413,2001-08-29
414,2001-08-30
415,2001-08-31
416,2001-09-03
417,2001-09-04
418,2001-09-05
419,2001-09-06
420,2001-09-10
421,2001-09-11
422,2001-09-12
423,2001-09-13
424,2001-09-14
425,2001-09-17
426,2001-09-18
427,2001-09-19
428,2001-09-20
429,2001-09-21
430,2001-09-24
431,2001-09-25
432,2001-09-26
433,2001-09-27
434,2001-09-28
435,2001-10-01
436,2001-10-02
437,2001-10-03
438,2001-10-04
439,2001-10-05
440,2001-10-08
441,2001-10-09
442,2001-10-10
443,2001-10-11
444,2001-10-15
445,2001-10-16
446,2001-10-17
447,2001-10-18
448,2001-10-19
449,2001-10-22
450,2001-10-23
451,2001-10-24
452,2001-10-25
453,2001-10-26
454,2001-10-29
455,2001-10-30
456,2001-10-31
457,2001-11-01
458,2001-11-05
459,2001-11-06
460,2001-11-07
461,2001-11-08
462,2001-11-09
463,2001-11-12
464,2001-11-13
465,2001-11-14
466,2001-11-16
467,2001-11-19
468,2001-11-20
469,2001-11-21
470,2001-11-22
471,2001-11-23
472,2001-11-26
473,2001-11-27
474,2001-11-28
475,2001-11-29
476,2001-11-30
477,2001-12-03
478,2001-12-04
479,2001-12-05
480,2001-12-06
481,2001-12-07
482,2001-12-10
483,2001-12-11
484,2001-12-12
485,2001-12-13
486,2001-12-14
487,2001-12-17
488,2001-12-18
489,2001-12-19
490,2001-12-20
491,2001-12-21
492,2001-12-26
493,2001-12-27
494,2001-12-28
495,2002-01-02
496,2002-01-03
497,2002-01-04
498,2002-01-07
499,2002-01-08
500,2002-01-09
501,2002-01-10
502,2002-01-11
503,2002-01-14
504,2002-01-15
505,2002-01-16
506,2002-01-17
507,2002-01-18
508,2002-01-21
509,2002-01-22
510,2002-01-23
511,2002-01-24
512,2002-01-28
513,2002-01-29
514,2002-01-30
515,2002-01-31
516,2002-02-01
517,2002-02-04
