id,codigo,nome_social,nome_resumido,cnpj,situacao_ativa,codigo_isin
36720,ARCZ,ARACRUZ CELULOSE SA,ARACRUZ1OK,42.157.511/0001-61,True,BRARCZACNPB3
36815,ARLA,ARTHUR LANGE SA IND COM,ARTHURLAN1R7,92.189.356/0001-33,True,BRARLAACNOR6
36815,ARLA,ARTHUR LANGE SA IND COM,ARTHURLAN1R7,92.189.356/0001-33,True,BRARLAACNPR3
94963,ARML,ARMAC LOCACAO LOGISTICA E SERVICOS S A,ARMAC,00.242.184/0001-04,True,BRARMLACNOR1
36867,ARPS,DOUAT CIA TEXTIL,DOUATTEXT1SN,82.610.726/0001-00,True,BRARPSACNOR9
36916,KUAL,KUALA SA EX ARTEX SA,KUALA1U0,82.640.723/0001-10,True,BRARTEACNOR1
36916,KUAL,KUALA SA EX ARTEX SA,KUALA1U0,82.640.723/0001-10,True,BRARTEACNPR8
36923,ARTR,ARTERIS SA,ARTERIS1U7,02.919.555/0001-67,True,BRARTRACNOR3
36969,AZZA,AZZAS 2154 S A,AZZAS 2154,16.590.234/0001-76,True,BRARZZACNOR3
75941,ASAI,SENDAS DISTRIBUIDORA S A,SENDAS,06.057.223/0001-71,True,BRASAIACNOR0
37079,ASSM,CIA ELDORADO HOTEIS,ELDORADO1YJ,62.791.116/0001-43,True,BRASSMACNOR4
37079,ASSM,CIA ELDORADO HOTEIS,ELDORADO1YJ,62.791.116/0001-43,True,BRASSMACNPR1
37091,ASTA,SANTISTA TEXTIL SA EX ALPARGATAS SANTISTA TEXTIL SA,SANTISTEX1YV,15.082.688/0001-73,True,BRASTAACNPR4
145319,ATED,ATOM EDUCACAO E EDITORA S A,ATOMEDUC,23.994.857/0001-70,True,BRATEDACNOR1
37155,ATEL,AUTEL SA TELECOMUNICACOES,AUTEL20N,47.709.365/0001-53,True,BRATELACNPR1
53467,ATMP,ATMA PARTICIPACOES S A,ATMASA,04.032.433/0001-80,True,BRATMPACNOR8
37260,FICT,FICTOR ALIMENTOS S A,FICTORALIMEN,00.359.742/0001-08,True,BRATOMACNOR1
108558,AURE,AUREN ENERGIA S A,AUREN,28.594.234/0001-23,True,BRAUREACNOR9
37383,AUTM,AUTOMETAL SA,AUTOMETAL26Z,59.104.513/0001-95,True,BRAUTMACNOR8
37428,AVIL,ACOS VILLARES SA,ACOSVILL288,60.664.810/0001-74,False,BRAVILACNOR1
37428,AVIL,ACOS VILLARES SA,ACOSVILL288,60.664.810/0001-74,False,BRAVILACNPR8
59324,AVLL,ALPHAVILLE S A,ALPHAVILLE,16.811.931/0001-00,True,BRAVLLACNOR5
37546,AZEV,AZEVEDO TRAVASSOS SA,AZEVEDO2BI,61.351.532/0001-68,True,BRAZEVACNOR0
37546,AZEV,AZEVEDO TRAVASSOS SA,AZEVEDO2BI,61.351.532/0001-68,True,BRAZEVACNPR7
37595,AZUL,AZUL SA,AZULSA2CV,09.305.994/0001-29,True,BRAZULACNPR4
36969,AZZA,AZZAS 2154 S A,AZZAS 2154,16.590.234/0001-76,True,BRAZZAACNOR9
37610,B3SA,B3 SA BRASIL BOLSA BALCAO,B32DA,09.346.601/0001-25,True,BRB3SAACNOR6
37624,BAAM,BCO BEA SA EX BCO ESTADO AMAZONAS SA,BANCOBEA2DO,04.562.120/0001-33,True,BRBAAMACNOR8
37624,BAAM,BCO BEA SA EX BCO ESTADO AMAZONAS SA,BANCOBEA2DO,04.562.120/0001-33,True,BRBAAMACNPR5
37656,BIED,BAHEMA EDUCACAO S A,BIOMA EDUC,45.987.245/0001-92,True,BRBAHIACNOR1
37656,BIED,BAHEMA EDUCACAO S A,BIOMA EDUC,45.987.245/0001-92,True,BRBAHIACNPA4
37656,BIED,BAHEMA EDUCACAO S A,BIOMA EDUC,45.987.245/0001-92,True,BRBAHIACNPR8
37674,BALM,BAUMER SA,BAUMER2F2,61.374.161/0001-30,True,BRBALMACNOR5
37674,BALM,BAUMER SA,BAUMER2F2,61.374.161/0001-30,True,BRBALMACNPR2
37720,BARB,SAINT GOBAIN CANALIZACAO SA EX CIA METALURGICA BARBARA,SGOBAINCA2GC,28.672.087/0001-62,True,BRBARBACNOR5
37720,BARB,SAINT GOBAIN CANALIZACAO SA EX CIA METALURGICA BARBARA,SGOBAINCA2GC,28.672.087/0001-62,True,BRBARBACNPR2
37737,BASU,BANCO COMERCIAL INVESTIMENTO SUDAMERIS SA,AMERICASU2GT,61.230.165/0001-44,True,BRBASUACNOR3
37737,BASU,BANCO COMERCIAL INVESTIMENTO SUDAMERIS SA,AMERICASU2GT,61.230.165/0001-44,True,BRBASUACNPA6
37737,BASU,BANCO COMERCIAL INVESTIMENTO SUDAMERIS SA,AMERICASU2GT,61.230.165/0001-44,True,BRBASUACNPB4
37746,BAUH,EXCELSIOR ALIMENTOS SA,EXCELSIOR2H2,95.426.862/0001-97,True,BRBAUHACNPR3
37760,BAZA,BCO AMAZONIA SA,AMAZONIA2HG,04.902.979/0001-44,True,BRBAZAACNOR0
37806,BBAS,BCO BRASIL SA,BRASIL2IQ,00.000.000/0001-91,True,BRBBASACNOR3
37806,BBAS,BCO BRASIL SA,BRASIL2IQ,00.000.000/0001-91,True,BRBBASACNPR0
37840,BBCM,BCO BANDEIRANTES SA,BANDEIRAN2JO,61.071.387/0001-61,True,BRBBCMACNOR2
37840,BBCM,BCO BANDEIRANTES SA,BANDEIRAN2JO,61.071.387/0001-61,True,BRBBCMACNPR9
37851,BBDC,BCO BRADESCO SA,BRADESCO2JZ,60.746.948/0001-12,True,BRBBDCACNOR1
37851,BBDC,BCO BRADESCO SA,BRADESCO2JZ,60.746.948/0001-12,True,BRBBDCACNPR8
38018,NEXP,NEXPE PARTICIPACOES S A,NEXPE,08.613.550/0001-98,True,BRBBRKACNOR4
38031,BBSE,BB SEGURIDADE PARTICIPACOES SA,BBSEGURID2OZ,17.344.597/0001-94,True,BRBBSEACNOR5
38093,BCAL,PRO METALURGIA SA,BICCALOI2QP,56.994.924/0001-05,False,BRBCALACNPB7
38260,BDEP,BCO PERNAMBUCO SA BANDEPE,BANDEPE2VC,10.866.788/0001-77,True,BRBDEPACNOR7
38284,BDLL,BARDELLA SA INDS MECANICAS,BARDELLA2W0,60.851.615/0001-53,True,BRBDLLACNOR1
38284,BDLL,BARDELLA SA INDS MECANICAS,BARDELLA2W0,60.851.615/0001-53,True,BRBDLLACNPR8
38375,BEBA,BCO BANEB SA EX BCO ESTADO BAHIA SA,BANEB2YJ,15.142.490/0001-38,True,BRBEBAACNPA6
38375,BEBA,BCO BANEB SA EX BCO ESTADO BAHIA SA,BANEB2YJ,15.142.490/0001-38,True,BRBEBAACNPB4
38379,BECE,BCO BEC SA,BANCOBEC2YN,07.196.934/0001-90,True,BRBECEACNOR3
38379,BECE,BCO BEC SA,BANCOBEC2YN,07.196.934/0001-90,True,BRBECEACNPR0
38389,BEEF,MINERVA SA,MINERVA2YX,67.620.377/0001-14,True,BRBEEFACNOR6
38390,BEES,BANESTES SA BCO ESTADO ESPIRITO SANTO,BANESTES2YY,28.127.603/0001-78,True,BRBEESACNOR9
38390,BEES,BANESTES SA BCO ESTADO ESPIRITO SANTO,BANESTES2YY,28.127.603/0001-78,True,BRBEESACNPR6
38420,BEMA,BEMATECH SA,BEMATECH2ZS,82.373.077/0001-71,True,BRBEMAACNOR0
38435,BEPA,BCO BANESTADO SA EX BCO ESTADO PARANA SA,BANESTADO307,76.492.172/0001-91,True,BRBEPAACNOR3
38435,BEPA,BCO BANESTADO SA EX BCO ESTADO PARANA SA,BANESTADO307,76.492.172/0001-91,True,BRBEPAACNPR0
38470,BESP,BCO ESTADO SAO PAULO SA,BANESPA316,61.411.633/0001-87,True,BRBESPACNOR5
38470,BESP,BCO ESTADO SAO PAULO SA,BANESPA316,61.411.633/0001-87,True,BRBESPACNPR2
38482,BEXC,BCO ALVORADA SA,BILBAOVIZ31I,33.870.163/0001-84,True,BRBEXCACNPR0
38510,BFCV,SPSCS INDL SA EX BRASINCA INDL SA,SPSCSINDL32A,59.290.239/0001-96,True,BRBFCVACNPR1
38544,BFIT,BCO SUDAMERIS BRASIL SA,SUDAMERIS338,60.942.638/0001-73,True,BRBFITACNOR5
38544,BFIT,BCO SUDAMERIS BRASIL SA,SUDAMERIS338,60.942.638/0001-73,True,BRBFITACNPR2
38635,BGIP,BCO ESTADO SERGIPE SA BANESE,BANESE35R,13.009.717/0001-46,True,BRBGIPACNOR1
38635,BGIP,BCO ESTADO SERGIPE SA BANESE,BANESE35R,13.009.717/0001-46,True,BRBGIPACNPR8
38650,BGOS,BCO BEG SA EX BCO ESTADO GOIAS SA,BEG366,01.540.541/0001-75,True,BRBGOSACNOR3
38650,BGOS,BCO BEG SA EX BCO ESTADO GOIAS SA,BEG366,01.540.541/0001-75,True,BRBGOSACNPR0
38678,BHEQ,BAHEMA EQUIPAMENTOS SA,BAHEMAEQU36Y,96.832.365/0001-51,True,BRBHEQACNOR6
38678,BHEQ,BAHEMA EQUIPAMENTOS SA,BAHEMAEQU36Y,96.832.365/0001-51,True,BRBHEQACNPR3
38683,BHGR,BHG SA BRAZIL HOSPITALITY GROUP,BHG373,08.723.106/0001-25,True,BRBHGRACNOR9
68127,BHIA,GRUPO CASAS BAHIA S A,VIA,33.041.260/0652-90,True,BRBHIAACNOR1
38721,BICB,CHINA CONSTRUCTION BANK BRASIL BCO MULTIPLO SA,CHINA385,07.450.604/0001-89,True,BRBICBACNOR0
38721,BICB,CHINA CONSTRUCTION BANK BRASIL BCO MULTIPLO SA,CHINA385,07.450.604/0001-89,True,BRBICBACNPR7
38726,BIDI,BANCO INTER SA,BANCO INTER,00.416.968/0001-01,True,BRBIDIACNOR3
38726,BIDI,BANCO INTER SA,BANCO INTER,00.416.968/0001-01,True,BRBIDIACNPR0
37656,BIED,BAHEMA EDUCACAO S A,BIOMA EDUC,45.987.245/0001-92,True,BRBIEDACNOR2
38762,BIOB,BIOBRAS SA,BIOBRAS39A,16.921.603/0001-66,True,BRBIOBACNOR5
38762,BIOB,BIOBRAS SA,BIOBRAS39A,16.921.603/0001-66,True,BRBIOBACNPA8
38762,BIOB,BIOBRAS SA,BIOBRAS39A,16.921.603/0001-66,True,BRBIOBACNPB6
38762,BIOB,BIOBRAS SA,BIOBRAS39A,16.921.603/0001-66,True,BRBIOBACNPC4
38762,BIOB,BIOBRAS SA,BIOBRAS39A,16.921.603/0001-66,True,BRBIOBACNPR2
38765,BIOM,BIOMM SA,BIOMM39D,04.752.991/0001-10,True,BRBIOMACNOR2
38765,BIOM,BIOMM SA,BIOMM39D,04.752.991/0001-10,True,BRBIOMACNPR9
38783,BISA,ERBE INCORPORADORA S A,ERBEINCORP,07.700.557/0001-84,True,BRBISAACNOR8
38823,ZAMP,ZAMP S A,ZAMP SA,13.574.594/0001-96,True,BRBKBRACNOR4
38854,BLAU,BLAU FARMACEUTICA SA,BLAUFARMA3BU,58.430.828/0001-60,True,BRBLAUACNOR8
52054,BLUT,BLUE TECH SOLUTIONS E Q I S A,B TECH EQI,60.637.238/0001-54,True,BRBLUTACNOR8
52054,BLUT,BLUE TECH SOLUTIONS E Q I S A,B TECH EQI,60.637.238/0001-54,True,BRBLUTACNPR5
39069,BMCT,BCO MERCANTIL SAO PAULO SA EX BCO MERCANTIL FINASA SA SAO PAULO,MERCSPAUL3HT,61.065.421/0001-95,True,BRBMCTACNOR4
39069,BMCT,BCO MERCANTIL SAO PAULO SA EX BCO MERCANTIL FINASA SA SAO PAULO,MERCSPAUL3HT,61.065.421/0001-95,True,BRBMCTACNPR1
39078,BMEB,BCO MERCANTIL BRASIL SA,MERCANTIL,17.184.037/0001-10,True,BRBMEBACNOR8
39078,BMEB,BCO MERCANTIL BRASIL SA,MERCANTIL,17.184.037/0001-10,True,BRBMEBACNPR5
39080,BMEF,BOLSA MERCADORIAS FUTUROS BMF SA,BOLSAMERC3I4,54.641.030/0001-06,True,BRBMEFACNOR9
39089,BMGB,BCO BMG SA,BMG3ID,61.186.680/0001-74,True,BRBMGBACNPR0
39105,BMIN,BCO MERCANTIL INVESTS SA,MERCINVES3IT,34.169.557/0001-72,True,BRBMINACNOR4
39105,BMIN,BCO MERCANTIL INVESTS SA,MERCINVES3IT,34.169.557/0001-72,True,BRBMINACNPR1
39107,BMKS,BICICLETAS MONARK SA,BICMONARK3IV,56.992.423/0001-90,True,BRBMKSACNOR9
98728,BMOB,BEMOBI MOBILE TECH S A,BEMOBI TECH,09.042.817/0001-05,True,BRBMOBACNOR7
39145,BMTO,BRASMOTOR SA,BRASMOTOR3JX,61.084.984/0001-20,True,BRBMTOACNOR9
39145,BMTO,BRASMOTOR SA,BRASMOTOR3JX,61.084.984/0001-20,True,BRBMTOACNPR6
39175,BNBR,BCO NORDESTE BRASIL SA,NORDBRASI3KR,07.237.373/0001-20,True,BRBNBRACNOR8
39175,BNBR,BCO NORDESTE BRASIL SA,NORDBRASI3KR,07.237.373/0001-20,True,BRBNBRACNPR5
39179,BNCA,BCO NOSSA CAIXA SA,BCONOSSAC3KV,43.073.394/0001-10,False,BRBNCAACNOR2
40351,BOAS,BOA VISTA SERVICOS S A,BOAVISTAS4HF,11.725.176/0001-27,True,BRBOASACNOR6
39315,BOBR,BOMBRIL SA EX BOMBRIL CIRIO SA,BOMBRIL3ON,50.564.053/0001-03,True,BRBOBRACNOR6
39315,BOBR,BOMBRIL SA EX BOMBRIL CIRIO SA,BOMBRIL3ON,50.564.053/0001-03,True,BRBOBRACNPR3
39385,BOVH,BOLSA VALORES SAO PAULO SA BVSP,BOVESPAHL3QL,08.695.953/0001-23,False,BRBOVHACNOR5
39411,BPAC,BCO BTG PACTUAL SA,BTGPBANCO3RB,30.306.294/0001-45,True,BRBPACACNOR7
39411,BPAC,BCO BTG PACTUAL SA,BTGPBANCO3RB,30.306.294/0001-45,True,BRBPACACNPA0
39415,BPAN,BANCO PAN S A,BANCOPANS3RF,59.285.411/0001-13,True,BRBPANACNPR1
39416,BPAR,BCO ESTADO PARA SA,BANPARA3RG,04.913.711/0001-08,True,BRBPARACNOR5
39432,BPCO,BOMPRECO SA SUPERMERCADOS NORDESTE,BOMPRECO3RW,13.004.510/0001-89,True,BRBPCOACNPR5
39470,BPHA,BRASIL PHARMA SA,BRPHARMA3SY,11.395.624/0001-71,True,BRBPHAACNOR6
